I will be writing articles on different topics. | Future Continuous Tense
Robert will be reading various kinds of books. | Future Continuous Tense
They will be playing football in that field. | Future Continuous Tense
April will be having coffee in this coffee shop. | Future Continuous Tense
Bob will be going to the library. | Future Continuous Tense
We will be shopping in that market this Monday. | Future Continuous Tense
We will be watching a movie in this Cineplex on next Friday. | Future Continuous Tense
You will be shopping at that market tomorrow. | Future Continuous Tense
I will be singing different kinds of songs, especially modern. | Future Continuous Tense
I will be attending a program of my varsity on Friday. | Future Continuous Tense
Jeff will be traveling around the world in March. | Future Continuous Tense
They will be playing hockey in that field on Thursday. | Future Continuous Tense
The poet will be writing a romantic poem for the program. | Future Continuous Tense
The lyricist will be writing a realistic song for the film. | Future Continuous Tense
Will you be going to the concert of realistic songs? | Future Continuous Tense
I will not be attending the program because of my busy schedule. | Future Continuous Tense
Robin will be joining us at the meeting. | Future Continuous Tense
I will be helping him to do the task. | Future Continuous Tense
We will be going to enjoy the musical drama. | Future Continuous Tense
I will be arranging all the necessary materials for the program. | Future Continuous Tense
They will have been living in Paris for five years. | Future Perfect Continuous Tense
The Kid will have been sleeping since 10 PM. | Future Perfect Continuous Tense
The doctor will have been treating patients for two years. | Future Perfect Continuous Tense
He will have been reading this book since 10 AM. | Future Perfect Continuous Tense
He will be working as an engineer in this factory since January. | Future Perfect Continuous Tense
We will have been starting your business since May. | Future Perfect Continuous Tense
You will have been using my computer for five months. | Future Perfect Continuous Tense
She will have been singing songs for three hours. | Future Perfect Continuous Tense
They will have been discussing about the issue for five days. | Future Perfect Continuous Tense
They will have been writing essays for two hours. | Future Perfect Continuous Tense
He will not have been working in the factory for six months. | Future Perfect Continuous Tense
She will not have been playing games since November. | Future Perfect Continuous Tense
They will not have been using this car since March. | Future Perfect Continuous Tense
The company will not have been advertising posts for two years. | Future Perfect Continuous Tense
He will not have been listening to music for nine hours. | Future Perfect Continuous Tense
She will not have been washing her dresses since June. | Future Perfect Continuous Tense
I will not have been waiting for you for four hours. | Future Perfect Continuous Tense
He will not have been running his business since April. | Future Perfect Continuous Tense
She will not have been living here for five years. | Future Perfect Continuous Tense
Will he have been loving her for five years? | Future Perfect Continuous Tense
Will she have been studying in the new college since December? | Future Perfect Continuous Tense
Will they have been working in this factory since June? | Future Perfect Continuous Tense
Will the kids have been making a noise for three hours? | Future Perfect Continuous Tense
Will they have been using their phone since Tomorrow? | Future Perfect Continuous Tense
Will you have been eating vegetables for three months. | Future Perfect Continuous Tense
I will have written articles on different topics before you come. | Future Perfect Tense
Robert will have read various kinds of books. | Future Perfect Tense
They will have played football in that field before you reach. | Future Perfect Tense
April will have gone to the coffee shop before she comes here. | Future Perfect Tense
Bob will have gone to the library before he comes to the class. | Future Perfect Tense
We will have shopped in that market before you come home. | Future Perfect Tense
We will have watched a movie in this Cineplex before you come. | Future Perfect Tense
You will have shopped at that market before we come. | Future Perfect Tense
I will have sung different kinds of songs before you join us. | Future Perfect Tense
I will have attended the program before I come here. | Future Perfect Tense
Jeff will have traveled around the world before he comes to Bangladesh. | Future Perfect Tense
They will have played hockey in that field before you reach. | Future Perfect Tense
The poet will have written a romantic poem before the program starts. | Future Perfect Tense
The lyricist will have written a realistic song for the film. | Future Perfect Tense
Will you have gone to the concert of the realistic songs before I come? | Future Perfect Tense
I will not have attended the program because of my busy schedule. | Future Perfect Tense
Robin will have joined us at the meeting before you reach. | Future Perfect Tense
I will have helped him to do the task before the class starts. | Future Perfect Tense
We will have enjoyed the musical drama before the game show starts. | Future Perfect Tense
I will have arranged all the necessary materials before the program starts. | Future Perfect Tense
I was writing articles on different topics. | Past Continuous Tense
He was reading various kinds of books. | Past Continuous Tense
They were playing football in that field. | Past Continuous Tense
She was drinking coffee in that coffee shop. | Past Continuous Tense
He was studying in the library. | Past Continuous Tense
We were shopping in this market last week. | Past Continuous Tense
We were watching a movie in this Cineplex yesterday. | Past Continuous Tense
You were shopping in that market. | Past Continuous Tense
I was singing different kinds of songs, especially modern. | Past Continuous Tense
I was listening to melodious songs last evening. | Past Continuous Tense
He was traveling around the world. | Past Continuous Tense
They were playing hockey on that field last week. | Past Continuous Tense
The poet was writing a romantic poem. | Past Continuous Tense
The lyricist was writing a realistic song for the program. | Past Continuous Tense
Were you enjoying the concert of realistic songs? | Past Continuous Tense
I was not watching the cricket match on television. | Past Continuous Tense
He was practicing to sing the song for the program. | Past Continuous Tense
I was helping him to do the task. | Past Continuous Tense
We were enjoying the program thoroughly. | Past Continuous Tense
I was shopping at the Dhaka International Trade Fair with my elder brother. | Past Continuous Tense
I had been writing articles on various topics for three hours. | Past Perfect Continuous Tense
He had been reading different kinds of books since morning. | Past Perfect Continuous Tense
They had been playing football in that field before it started to rain. | Past Perfect Continuous Tense
Jane had been gossiping in the coffee shop for two hours. | Past Perfect Continuous Tense
Jeff had been studying in the library before he came to the class. | Past Perfect Continuous Tense
We had been shopping in that shop before we came home. | Past Perfect Continuous Tense
We had been watching a movie in this Cineplex for three hours. | Past Perfect Continuous Tense
You had been shopping in that market before you came home. | Past Perfect Continuous Tense
I had been singing different kinds of songs for an hour. | Past Perfect Continuous Tense
I had been listening to melodious songs for two hours. | Past Perfect Continuous Tense
Tom had been traveling around the world since the month of December. | Past Perfect Continuous Tense
They had been playing hockey on that field for three hours. | Past Perfect Continuous Tense
The poet had been writing romantic poems since morning. | Past Perfect Continuous Tense
The lyricist had been writing realistic songs since the beginning of his career. | Past Perfect Continuous Tense
Had you not been enjoying the concert for three hours? | Past Perfect Continuous Tense
I had not been watching the cricket match on television for two hours. | Past Perfect Continuous Tense
Richard had been practicing to sing the song since morning. | Past Perfect Continuous Tense
I had been helping him to do the task before I started the program. | Past Perfect Continuous Tense
